string,n
"https://github.com/nodejs/node.git",672714
"https://github.com/angular/angular.git",280848
"https://github.com/facebook/react.git",163401
"https://github.com/apache/airflow.git",112775
"https://github.com/meteor/meteor.git",81125
"https://github.com/pixijs/pixi.js.git",72678
"https://github.com/vuejs/vue.git",27096
"https://github.com/xonsh/xonsh.git",25673
