project_id,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,forks,subscribers,language,heads,commits,authors,paths,snapshots,committers,users,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,master_branch,license,homepage,description
0,https://github.com/nodejs/node.git,false,false,false,77846,77846,672714,1263,19672,2974,JavaScript,35,64205,3511,82641,335661,256,3532,381818547,true,true,false,false,1417031831,1616620545,1616625277,"master","Other","https://nodejs.org","Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:"
1,https://github.com/pixijs/pixi.js.git,false,false,false,32267,32267,72678,89,4255,1054,TypeScript,32,23606,769,6733,68100,237,775,291278435,true,true,true,false,1358808050,1616619549,1616616684,"dev","MIT License","http://pixijs.com","The HTML5 Creation Engine: Create beautiful digital content with the fastest, most flexible 2D WebGL renderer."
2,https://github.com/angular/angular.git,false,false,false,71934,71934,280848,2684,18794,3222,TypeScript,65,34183,2047,11770,100964,1013,2059,281128680,true,true,false,false,1411056721,1616623515,1616625932,"master","MIT License","https://angular.io","One framework. Mobile & desktop."
4,https://github.com/facebook/react.git,false,false,false,165779,165779,163401,680,33288,6725,JavaScript,106,17137,1720,9891,74385,797,1728,246855152,true,true,true,true,1369412154,1616626445,1616626468,"master","MIT License","https://reactjs.org","A declarative, efficient, and flexible JavaScript library for building user interfaces."
5,https://github.com/vuejs/vue.git,false,false,false,180987,180987,27096,563,28508,6317,JavaScript,60,5989,422,1452,17556,96,425,241058493,true,true,true,false,1375068291,1616625148,1616596066,"dev","MIT License","http://vuejs.org","🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web."
7,https://github.com/meteor/meteor.git,false,false,false,42350,42350,81125,131,5158,1697,JavaScript,1128,28151,569,6956,72402,272,574,294576862,true,true,true,false,1326938297,1616612910,1616410986,"devel","Other","https://www.meteor.com","Meteor, the JavaScript App Platform"
