project_id,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,forks,subscribers,language,heads,commits,authors,paths,snapshots,committers,users,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,master_branch,license,homepage,description
8,https://github.com/3b1b/manim.git,false,false,false,32096,32096,55368,322,3842,794,Python,4,4955,108,1482,11340,49,108,64456926,true,true,true,true,1427050258,1616624657,1616619656,"master","MIT License","","Animation engine for explanatory math videos"
3,https://github.com/apache/airflow.git,false,false,false,20877,20877,112775,985,8216,740,Python,16,32092,1968,11342,93906,982,1980,237396500,true,true,false,false,1428948298,1616626066,1616625771,"master","Apache License 2.0","https://airflow.apache.org/","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
9,https://github.com/s0md3v/photon.git,false,false,false,7698,7698,356,38,1087,303,Python,2,2558,193,830,7583,11,195,60613016,true,true,true,false,1522438702,1616595732,1615141637,"master","GNU General Public License v3.0","","Incredibly fast crawler designed for OSINT."
6,https://github.com/xonsh/xonsh.git,false,false,false,4521,4521,25673,334,476,99,Python,40,11159,301,3272,26578,72,303,185551300,true,true,true,false,1421877927,1616621216,1616584016,"main","Other","http://xon.sh",":shell: Python-powered, cross-platform, Unix-gazing shell"
